epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.92421,0.93919,3.95236,0.95092,0.00458,0.61111,0.00432,0.00338,0.50347,3.70032,0.83692,6e-05,6e-05,6e-05
2,15.9055,0.77857,3.51164,0.85802,0.0075,1,0.01896,0.01579,0.66413,3.42369,0.83131,0.000138614,0.000138614,0.000138614
3,22.8254,0.72482,2.27844,0.82532,0.0075,1,0.0705,0.0559,0.60829,3.21987,0.81278,0.000215644,0.000215644,0.000215644
4,29.6384,0.74949,1.60404,0.84491,0.0075,1,0.19938,0.13322,0.56821,3.28615,0.80667,0.00029109,0.00029109,0.00029109
5,36.2926,0.64638,1.51901,0.84165,0.0075,1,0.1486,0.07693,0.56427,3.29186,0.81116,0.000364952,0.000364952,0.000364952
6,43.133,0.66155,1.24822,0.84015,0.0075,1,0.04682,0.03202,0.67371,3.2002,0.81763,0.00043723,0.00043723,0.00043723
7,49.7511,0.7347,1.23939,0.87751,0.0075,1,0.02953,0.01898,0.60012,3.16154,0.80606,0.000507924,0.000507924,0.000507924
8,56.3359,0.66938,1.13709,0.85817,0.0075,1,0.1676,0.14383,0.60291,3.1653,0.81686,0.000577034,0.000577034,0.000577034
9,63.1237,0.61628,1.09684,0.83027,0.00729,0.97222,0.21078,0.19001,0.6435,3.1816,0.82427,0.00064456,0.00064456,0.00064456
10,70.0391,0.64052,1.07178,0.83326,0.60131,0.55556,0.55539,0.48746,0.5494,2.98604,0.80569,0.000710502,0.000710502,0.000710502
11,77.0869,0.65502,0.97697,0.85148,0.00729,0.97222,0.26669,0.2299,0.61427,3.2007,0.80853,0.00077486,0.00077486,0.00077486
12,84.2046,0.67271,1.05307,0.83436,0.00729,0.97222,0.51435,0.39535,0.62579,3.05796,0.82551,0.000837634,0.000837634,0.000837634
13,91.4042,0.62419,0.86262,0.8387,0.0075,1,0.46429,0.39223,0.51487,2.8203,0.81194,0.000898824,0.000898824,0.000898824
14,98.4371,0.64405,0.89343,0.8431,0.0075,1,0.45367,0.39262,0.54274,2.79064,0.81543,0.00095843,0.00095843,0.00095843
15,105.498,0.63715,1.01256,0.82879,0.0075,1,0.71269,0.64599,0.51264,2.67571,0.80949,0.00101645,0.00101645,0.00101645
16,112.686,0.67787,0.97738,0.84395,1,0.13644,0.95637,0.83689,0.54192,2.45908,0.81797,0.00107289,0.00107289,0.00107289
17,119.884,0.59479,0.90751,0.82574,1,0.40919,0.97144,0.83827,0.58373,2.19357,0.8255,0.00112774,0.00112774,0.00112774
18,126.865,0.60063,0.90073,0.86157,1,0.13511,0.79817,0.70804,0.53172,2.44584,0.81163,0.00118101,0.00118101,0.00118101
19,134.218,0.57877,0.8691,0.82182,1,0.16548,0.87679,0.78015,0.52056,2.5772,0.81783,0.0012327,0.0012327,0.0012327
20,141.451,0.60142,0.87732,0.82838,1,0.22156,0.89625,0.79849,0.51714,2.4089,0.81954,0.0012828,0.0012828,0.0012828
21,148.518,0.60312,0.92016,0.83773,0.96625,0.79559,0.92136,0.8072,0.57627,2.02482,0.82178,0.00133132,0.00133132,0.00133132
